year_month,date,Level,Name,Series,Permits
202512,Dec 2025,City/Other,Austell,Single-Family,2
202407,Jul 2024,City/Other,Avondale Estates,Single-Family,0
202408,Aug 2024,City/Other,Avondale Estates,Single-Family,0
202409,Sep 2024,City/Other,Avondale Estates,Single-Family,0
202410,Oct 2024,City/Other,Avondale Estates,Single-Family,0
202411,Nov 2024,City/Other,Avondale Estates,Single-Family,0
202412,Dec 2024,City/Other,Avondale Estates,Single-Family,0
202501,Jan 2025,City/Other,Avondale Estates,Single-Family,0
202502,Feb 2025,City/Other,Avondale Estates,Single-Family,0
202503,Mar 2025,City/Other,Avondale Estates,Single-Family,0
202504,Apr 2025,City/Other,Avondale Estates,Single-Family,0
202505,May 2025,City/Other,Avondale Estates,Single-Family,0
202506,Jun 2025,City/Other,Avondale Estates,Single-Family,0
202507,Jul 2025,City/Other,Avondale Estates,Single-Family,0
202508,Aug 2025,City/Other,Avondale Estates,Single-Family,0
202509,Sep 2025,City/Other,Avondale Estates,Single-Family,0
202510,Oct 2025,City/Other,Avondale Estates,Single-Family,0
202511,Nov 2025,City/Other,Avondale Estates,Single-Family,0
202512,Dec 2025,City/Other,Avondale Estates,Single-Family,0
202407,Jul 2024,City/Other,Ball Ground,Single-Family,4
202408,Aug 2024,City/Other,Ball Ground,Single-Family,9
202409,Sep 2024,City/Other,Ball Ground,Single-Family,19
202410,Oct 2024,City/Other,Ball Ground,Single-Family,3
202411,Nov 2024,City/Other,Ball Ground,Single-Family,3
202412,Dec 2024,City/Other,Ball Ground,Single-Family,1
202501,Jan 2025,City/Other,Ball Ground,Single-Family,6
202502,Feb 2025,City/Other,Ball Ground,Single-Family,7
202503,Mar 2025,City/Other,Ball Ground,Single-Family,10
202504,Apr 2025,City/Other,Ball Ground,Single-Family,2
202505,May 2025,City/Other,Ball Ground,Single-Family,0
202506,Jun 2025,City/Other,Ball Ground,Single-Family,4
202507,Jul 2025,City/Other,Ball Ground,Single-Family,12
202508,Aug 2025,City/Other,Ball Ground,Single-Family,5
202509,Sep 2025,City/Other,Ball Ground,Single-Family,2
202510,Oct 2025,City/Other,Ball Ground,Single-Family,12
202511,Nov 2025,City/Other,Ball Ground,Single-Family,3
202512,Dec 2025,City/Other,Ball Ground,Single-Family,4
202407,Jul 2024,City/Other,Berkeley Lake,Single-Family,0
202408,Aug 2024,City/Other,Berkeley Lake,Single-Family,0
202409,Sep 2024,City/Other,Berkeley Lake,Single-Family,0
202410,Oct 2024,City/Other,Berkeley Lake,Single-Family,0
202411,Nov 2024,City/Other,Berkeley Lake,Single-Family,1
202412,Dec 2024,City/Other,Berkeley Lake,Single-Family,0
202501,Jan 2025,City/Other,Berkeley Lake,Single-Family,0
202502,Feb 2025,City/Other,Berkeley Lake,Single-Family,0
202503,Mar 2025,City/Other,Berkeley Lake,Single-Family,0
202504,Apr 2025,City/Other,Berkeley Lake,Single-Family,0
202505,May 2025,City/Other,Berkeley Lake,Single-Family,0
202506,Jun 2025,City/Other,Berkeley Lake,Single-Family,0
202507,Jul 2025,City/Other,Berkeley Lake,Single-Family,0
202508,Aug 2025,City/Other,Berkeley Lake,Single-Family,0
202509,Sep 2025,City/Other,Berkeley Lake,Single-Family,0
202510,Oct 2025,City/Other,Berkeley Lake,Single-Family,0
202511,Nov 2025,City/Other,Berkeley Lake,Single-Family,0
202512,Dec 2025,City/Other,Berkeley Lake,Single-Family,0
202407,Jul 2024,City/Other,Brookhaven,Single-Family,28
202408,Aug 2024,City/Other,Brookhaven,Single-Family,10
202409,Sep 2024,City/Other,Brookhaven,Single-Family,2
202410,Oct 2024,City/Other,Brookhaven,Single-Family,9
202411,Nov 2024,City/Other,Brookhaven,Single-Family,3
202412,Dec 2024,City/Other,Brookhaven,Single-Family,5
202501,Jan 2025,City/Other,Brookhaven,Single-Family,7
202502,Feb 2025,City/Other,Brookhaven,Single-Family,12
202503,Mar 2025,City/Other,Brookhaven,Single-Family,11
202504,Apr 2025,City/Other,Brookhaven,Single-Family,12
202505,May 2025,City/Other,Brookhaven,Single-Family,15
202506,Jun 2025,City/Other,Brookhaven,Single-Family,15
202507,Jul 2025,City/Other,Brookhaven,Single-Family,12
202508,Aug 2025,City/Other,Brookhaven,Single-Family,13
202509,Sep 2025,City/Other,Brookhaven,Single-Family,23
202510,Oct 2025,City/Other,Brookhaven,Single-Family,11
202511,Nov 2025,City/Other,Brookhaven,Single-Family,7
202512,Dec 2025,City/Other,Brookhaven,Single-Family,5
202407,Jul 2024,City/Other,Buford,Single-Family,3
202408,Aug 2024,City/Other,Buford,Single-Family,12
202409,Sep 2024,City/Other,Buford,Single-Family,4
202410,Oct 2024,City/Other,Buford,Single-Family,2
202411,Nov 2024,City/Other,Buford,Single-Family,3
202412,Dec 2024,City/Other,Buford,Single-Family,6
202501,Jan 2025,City/Other,Buford,Single-Family,2
202502,Feb 2025,City/Other,Buford,Single-Family,10
202503,Mar 2025,City/Other,Buford,Single-Family,9
202504,Apr 2025,City/Other,Buford,Single-Family,11
202505,May 2025,City/Other,Buford,Single-Family,3
202506,Jun 2025,City/Other,Buford,Single-Family,3
202507,Jul 2025,City/Other,Buford,Single-Family,2
202508,Aug 2025,City/Other,Buford,Single-Family,11
202509,Sep 2025,City/Other,Buford,Single-Family,5
202510,Oct 2025,City/Other,Buford,Single-Family,3
202511,Nov 2025,City/Other,Buford,Single-Family,1
202512,Dec 2025,City/Other,Buford,Single-Family,1
202407,Jul 2024,City/Other,Canton,Single-Family,17
202408,Aug 2024,City/Other,Canton,Single-Family,12
202409,Sep 2024,City/Other,Canton,Single-Family,8
202410,Oct 2024,City/Other,Canton,Single-Family,13
202411,Nov 2024,City/Other,Canton,Single-Family,11
202412,Dec 2024,City/Other,Canton,Single-Family,20
202501,Jan 2025,City/Other,Canton,Single-Family,24
202502,Feb 2025,City/Other,Canton,Single-Family,33
202503,Mar 2025,City/Other,Canton,Single-Family,25
202504,Apr 2025,City/Other,Canton,Single-Family,24
202505,May 2025,City/Other,Canton,Single-Family,39
202506,Jun 2025,City/Other,Canton,Single-Family,29
202507,Jul 2025,City/Other,Canton,Single-Family,21
202508,Aug 2025,City/Other,Canton,Single-Family,2
202509,Sep 2025,City/Other,Canton,Single-Family,16
202510,Oct 2025,City/Other,Canton,Single-Family,22
202511,Nov 2025,City/Other,Canton,Single-Family,13
202512,Dec 2025,City/Other,Canton,Single-Family,28
202407,Jul 2024,City/Other,Chamblee,Single-Family,2
202408,Aug 2024,City/Other,Chamblee,Single-Family,1
202409,Sep 2024,City/Other,Chamblee,Single-Family,3
202410,Oct 2024,City/Other,Chamblee,Single-Family,1
202411,Nov 2024,City/Other,Chamblee,Single-Family,2
202412,Dec 2024,City/Other,Chamblee,Single-Family,7
202501,Jan 2025,City/Other,Chamblee,Single-Family,4
202502,Feb 2025,City/Other,Chamblee,Single-Family,7
202503,Mar 2025,City/Other,Chamblee,Single-Family,3
202504,Apr 2025,City/Other,Chamblee,Single-Family,2
202505,May 2025,City/Other,Chamblee,Single-Family,2
202506,Jun 2025,City/Other,Chamblee,Single-Family,1
202507,Jul 2025,City/Other,Chamblee,Single-Family,2
202508,Aug 2025,City/Other,Chamblee,Single-Family,2
202509,Sep 2025,City/Other,Chamblee,Single-Family,6
202510,Oct 2025,City/Other,Chamblee,Single-Family,1
202511,Nov 2025,City/Other,Chamblee,Single-Family,1
202512,Dec 2025,City/Other,Chamblee,Single-Family,1
202407,Jul 2024,City/Other,Chattahoochee Hills,Single-Family,4
202408,Aug 2024,City/Other,Chattahoochee Hills,Single-Family,2
202409,Sep 2024,City/Other,Chattahoochee Hills,Single-Family,3
202410,Oct 2024,City/Other,Chattahoochee Hills,Single-Family,2
202411,Nov 2024,City/Other,Chattahoochee Hills,Single-Family,7
202412,Dec 2024,City/Other,Chattahoochee Hills,Single-Family,7
202501,Jan 2025,City/Other,Chattahoochee Hills,Single-Family,10
202502,Feb 2025,City/Other,Chattahoochee Hills,Single-Family,3
202503,Mar 2025,City/Other,Chattahoochee Hills,Single-Family,4
202504,Apr 2025,City/Other,Chattahoochee Hills,Single-Family,3
202505,May 2025,City/Other,Chattahoochee Hills,Single-Family,7
202506,Jun 2025,City/Other,Chattahoochee Hills,Single-Family,0
202507,Jul 2025,City/Other,Chattahoochee Hills,Single-Family,3
202508,Aug 2025,City/Other,Chattahoochee Hills,Single-Family,3
202509,Sep 2025,City/Other,Chattahoochee Hills,Single-Family,1
202510,Oct 2025,City/Other,Chattahoochee Hills,Single-Family,1
202511,Nov 2025,City/Other,Chattahoochee Hills,Single-Family,1
202512,Dec 2025,City/Other,Chattahoochee Hills,Single-Family,4
202407,Jul 2024,County,Cherokee,Single-Family,149
202408,Aug 2024,County,Cherokee,Single-Family,136
202409,Sep 2024,County,Cherokee,Single-Family,107
202410,Oct 2024,County,Cherokee,Single-Family,129
202411,Nov 2024,County,Cherokee,Single-Family,104
202412,Dec 2024,County,Cherokee,Single-Family,89
202501,Jan 2025,County,Cherokee,Single-Family,135
202502,Feb 2025,County,Cherokee,Single-Family,156
202503,Mar 2025,County,Cherokee,Single-Family,130
202504,Apr 2025,County,Cherokee,Single-Family,184
202505,May 2025,County,Cherokee,Single-Family,147
202506,Jun 2025,County,Cherokee,Single-Family,132
202507,Jul 2025,County,Cherokee,Single-Family,165
202508,Aug 2025,County,Cherokee,Single-Family,70
202509,Sep 2025,County,Cherokee,Single-Family,110
202510,Oct 2025,County,Cherokee,Single-Family,114
202511,Nov 2025,County,Cherokee,Single-Family,59
202512,Dec 2025,County,Cherokee,Single-Family,81
202407,Jul 2024,City/Other,Clarkston,Single-Family,0
202408,Aug 2024,City/Other,Clarkston,Single-Family,5
202409,Sep 2024,City/Other,Clarkston,Single-Family,0
202410,Oct 2024,City/Other,Clarkston,Single-Family,0
202411,Nov 2024,City/Other,Clarkston,Single-Family,0
202412,Dec 2024,City/Other,Clarkston,Single-Family,0
202501,Jan 2025,City/Other,Clarkston,Single-Family,0
202502,Feb 2025,City/Other,Clarkston,Single-Family,0
202503,Mar 2025,City/Other,Clarkston,Single-Family,1
202504,Apr 2025,City/Other,Clarkston,Single-Family,3
202505,May 2025,City/Other,Clarkston,Single-Family,0
202506,Jun 2025,City/Other,Clarkston,Single-Family,0
202507,Jul 2025,City/Other,Clarkston,Single-Family,0
202508,Aug 2025,City/Other,Clarkston,Single-Family,0
202509,Sep 2025,City/Other,Clarkston,Single-Family,1
202510,Oct 2025,City/Other,Clarkston,Single-Family,0
202511,Nov 2025,City/Other,Clarkston,Single-Family,0
202512,Dec 2025,City/Other,Clarkston,Single-Family,1
202407,Jul 2024,County,Clayton,Single-Family,3
202408,Aug 2024,County,Clayton,Single-Family,44
202409,Sep 2024,County,Clayton,Single-Family,29
202410,Oct 2024,County,Clayton,Single-Family,30
202411,Nov 2024,County,Clayton,Single-Family,41
202412,Dec 2024,County,Clayton,Single-Family,61
202501,Jan 2025,County,Clayton,Single-Family,32
202502,Feb 2025,County,Clayton,Single-Family,63
202503,Mar 2025,County,Clayton,Single-Family,20
202504,Apr 2025,County,Clayton,Single-Family,30
202505,May 2025,County,Clayton,Single-Family,33
202506,Jun 2025,County,Clayton,Single-Family,21
202507,Jul 2025,County,Clayton,Single-Family,63
202508,Aug 2025,County,Clayton,Single-Family,38
202509,Sep 2025,County,Clayton,Single-Family,19
202510,Oct 2025,County,Clayton,Single-Family,41
202511,Nov 2025,County,Clayton,Single-Family,29
202512,Dec 2025,County,Clayton,Single-Family,14
202407,Jul 2024,County,Cobb,Single-Family,99
202408,Aug 2024,County,Cobb,Single-Family,99
202409,Sep 2024,County,Cobb,Single-Family,82
202410,Oct 2024,County,Cobb,Single-Family,127
202411,Nov 2024,County,Cobb,Single-Family,78
202412,Dec 2024,County,Cobb,Single-Family,115
202501,Jan 2025,County,Cobb,Single-Family,92
202502,Feb 2025,County,Cobb,Single-Family,95
202503,Mar 2025,County,Cobb,Single-Family,103
202504,Apr 2025,County,Cobb,Single-Family,125
202505,May 2025,County,Cobb,Single-Family,83
202506,Jun 2025,County,Cobb,Single-Family,60
202507,Jul 2025,County,Cobb,Single-Family,87
202508,Aug 2025,County,Cobb,Single-Family,90
202509,Sep 2025,County,Cobb,Single-Family,112
202510,Oct 2025,County,Cobb,Single-Family,72
202511,Nov 2025,County,Cobb,Single-Family,54
202512,Dec 2025,County,Cobb,Single-Family,62
202407,Jul 2024,City/Other,College Park,Single-Family,0
202408,Aug 2024,City/Other,College Park,Single-Family,0
202409,Sep 2024,City/Other,College Park,Single-Family,0
202410,Oct 2024,City/Other,College Park,Single-Family,0
202411,Nov 2024,City/Other,College Park,Single-Family,8
202412,Dec 2024,City/Other,College Park,Single-Family,1
202501,Jan 2025,City/Other,College Park,Single-Family,0
202502,Feb 2025,City/Other,College Park,Single-Family,0
202503,Mar 2025,City/Other,College Park,Single-Family,0
202504,Apr 2025,City/Other,College Park,Single-Family,0
202505,May 2025,City/Other,College Park,Single-Family,4
202506,Jun 2025,City/Other,College Park,Single-Family,6
202507,Jul 2025,City/Other,College Park,Single-Family,5
202508,Aug 2025,City/Other,College Park,Single-Family,0
202509,Sep 2025,City/Other,College Park,Single-Family,0
202510,Oct 2025,City/Other,College Park,Single-Family,4
202511,Nov 2025,City/Other,College Park,Single-Family,5
202512,Dec 2025,City/Other,College Park,Single-Family,7
202407,Jul 2024,City/Other,Conyers,Single-Family,18
202408,Aug 2024,City/Other,Conyers,Single-Family,6
202409,Sep 2024,City/Other,Conyers,Single-Family,1
202410,Oct 2024,City/Other,Conyers,Single-Family,1
202411,Nov 2024,City/Other,Conyers,Single-Family,8
202412,Dec 2024,City/Other,Conyers,Single-Family,0
202501,Jan 2025,City/Other,Conyers,Single-Family,22
202502,Feb 2025,City/Other,Conyers,Single-Family,11
202503,Mar 2025,City/Other,Conyers,Single-Family,20
202504,Apr 2025,City/Other,Conyers,Single-Family,1
202505,May 2025,City/Other,Conyers,Single-Family,33
202506,Jun 2025,City/Other,Conyers,Single-Family,12
202507,Jul 2025,City/Other,Conyers,Single-Family,27
202508,Aug 2025,City/Other,Conyers,Single-Family,4
202509,Sep 2025,City/Other,Conyers,Single-Family,2
202510,Oct 2025,City/Other,Conyers,Single-Family,13
202511,Nov 2025,City/Other,Conyers,Single-Family,10
202512,Dec 2025,City/Other,Conyers,Single-Family,12
202407,Jul 2024,City/Other,Cumming,Single-Family,5
202408,Aug 2024,City/Other,Cumming,Single-Family,129
202409,Sep 2024,City/Other,Cumming,Single-Family,30
202410,Oct 2024,City/Other,Cumming,Single-Family,27
202411,Nov 2024,City/Other,Cumming,Single-Family,21
202412,Dec 2024,City/Other,Cumming,Single-Family,26
202501,Jan 2025,City/Other,Cumming,Single-Family,16
202502,Feb 2025,City/Other,Cumming,Single-Family,16
202503,Mar 2025,City/Other,Cumming,Single-Family,12
202504,Apr 2025,City/Other,Cumming,Single-Family,25
202505,May 2025,City/Other,Cumming,Single-Family,11
202506,Jun 2025,City/Other,Cumming,Single-Family,10
202507,Jul 2025,City/Other,Cumming,Single-Family,5
202508,Aug 2025,City/Other,Cumming,Single-Family,6
202509,Sep 2025,City/Other,Cumming,Single-Family,7
202510,Oct 2025,City/Other,Cumming,Single-Family,24
202511,Nov 2025,City/Other,Cumming,Single-Family,10
202512,Dec 2025,City/Other,Cumming,Single-Family,10
202407,Jul 2024,City/Other,Dacula,Single-Family,14
202408,Aug 2024,City/Other,Dacula,Single-Family,24
202409,Sep 2024,City/Other,Dacula,Single-Family,29
202410,Oct 2024,City/Other,Dacula,Single-Family,12
202411,Nov 2024,City/Other,Dacula,Single-Family,0
202412,Dec 2024,City/Other,Dacula,Single-Family,15
202501,Jan 2025,City/Other,Dacula,Single-Family,11
202502,Feb 2025,City/Other,Dacula,Single-Family,21
202503,Mar 2025,City/Other,Dacula,Single-Family,11
202504,Apr 2025,City/Other,Dacula,Single-Family,9
202505,May 2025,City/Other,Dacula,Single-Family,9
202506,Jun 2025,City/Other,Dacula,Single-Family,3
202507,Jul 2025,City/Other,Dacula,Single-Family,10
202508,Aug 2025,City/Other,Dacula,Single-Family,12
202509,Sep 2025,City/Other,Dacula,Single-Family,0
202510,Oct 2025,City/Other,Dacula,Single-Family,0
202511,Nov 2025,City/Other,Dacula,Single-Family,9
202512,Dec 2025,City/Other,Dacula,Single-Family,1
202407,Jul 2024,County,DeKalb,Single-Family,110
202408,Aug 2024,County,DeKalb,Single-Family,53
202409,Sep 2024,County,DeKalb,Single-Family,88
202410,Oct 2024,County,DeKalb,Single-Family,69
202411,Nov 2024,County,DeKalb,Single-Family,36
202412,Dec 2024,County,DeKalb,Single-Family,30
202501,Jan 2025,County,DeKalb,Single-Family,51
202502,Feb 2025,County,DeKalb,Single-Family,56
202503,Mar 2025,County,DeKalb,Single-Family,67
202504,Apr 2025,County,DeKalb,Single-Family,63
202505,May 2025,County,DeKalb,Single-Family,80
202506,Jun 2025,County,DeKalb,Single-Family,62
202507,Jul 2025,County,DeKalb,Single-Family,96
202508,Aug 2025,County,DeKalb,Single-Family,74
202509,Sep 2025,County,DeKalb,Single-Family,49
202510,Oct 2025,County,DeKalb,Single-Family,129
202511,Nov 2025,County,DeKalb,Single-Family,32
202512,Dec 2025,County,DeKalb,Single-Family,47
202407,Jul 2024,City/Other,Decatur,Single-Family,0
202408,Aug 2024,City/Other,Decatur,Single-Family,0
202409,Sep 2024,City/Other,Decatur,Single-Family,1
202410,Oct 2024,City/Other,Decatur,Single-Family,3
202411,Nov 2024,City/Other,Decatur,Single-Family,0
202412,Dec 2024,City/Other,Decatur,Single-Family,2
202501,Jan 2025,City/Other,Decatur,Single-Family,5
202502,Feb 2025,City/Other,Decatur,Single-Family,1
202503,Mar 2025,City/Other,Decatur,Single-Family,8
202504,Apr 2025,City/Other,Decatur,Single-Family,3
202505,May 2025,City/Other,Decatur,Single-Family,2
202506,Jun 2025,City/Other,Decatur,Single-Family,0
202507,Jul 2025,City/Other,Decatur,Single-Family,9
202508,Aug 2025,City/Other,Decatur,Single-Family,1
202509,Sep 2025,City/Other,Decatur,Single-Family,1
202510,Oct 2025,City/Other,Decatur,Single-Family,0
202511,Nov 2025,City/Other,Decatur,Single-Family,0
202512,Dec 2025,City/Other,Decatur,Single-Family,0
202407,Jul 2024,City/Other,Doraville,Single-Family,5
202408,Aug 2024,City/Other,Doraville,Single-Family,0
202409,Sep 2024,City/Other,Doraville,Single-Family,0
202410,Oct 2024,City/Other,Doraville,Single-Family,0
202411,Nov 2024,City/Other,Doraville,Single-Family,0
202412,Dec 2024,City/Other,Doraville,Single-Family,0
202501,Jan 2025,City/Other,Doraville,Single-Family,0
202502,Feb 2025,City/Other,Doraville,Single-Family,0
202503,Mar 2025,City/Other,Doraville,Single-Family,0
202504,Apr 2025,City/Other,Doraville,Single-Family,0
202505,May 2025,City/Other,Doraville,Single-Family,28
202506,Jun 2025,City/Other,Doraville,Single-Family,9
202507,Jul 2025,City/Other,Doraville,Single-Family,43
202508,Aug 2025,City/Other,Doraville,Single-Family,2
202509,Sep 2025,City/Other,Doraville,Single-Family,0
202510,Oct 2025,City/Other,Doraville,Single-Family,0
202511,Nov 2025,City/Other,Doraville,Single-Family,0
202512,Dec 2025,City/Other,Doraville,Single-Family,0
202407,Jul 2024,County,Douglas,Single-Family,35
202408,Aug 2024,County,Douglas,Single-Family,26
202409,Sep 2024,County,Douglas,Single-Family,31
202410,Oct 2024,County,Douglas,Single-Family,34
202411,Nov 2024,County,Douglas,Single-Family,28
202412,Dec 2024,County,Douglas,Single-Family,26
202501,Jan 2025,County,Douglas,Single-Family,49
202502,Feb 2025,County,Douglas,Single-Family,44
202503,Mar 2025,County,Douglas,Single-Family,47
202504,Apr 2025,County,Douglas,Single-Family,30
202505,May 2025,County,Douglas,Single-Family,66
202506,Jun 2025,County,Douglas,Single-Family,34
202507,Jul 2025,County,Douglas,Single-Family,37
202508,Aug 2025,County,Douglas,Single-Family,41
202509,Sep 2025,County,Douglas,Single-Family,34
202510,Oct 2025,County,Douglas,Single-Family,51
202511,Nov 2025,County,Douglas,Single-Family,40
202512,Dec 2025,County,Douglas,Single-Family,30
202407,Jul 2024,City/Other,Douglasville,Single-Family,8
202408,Aug 2024,City/Other,Douglasville,Single-Family,18
202409,Sep 2024,City/Other,Douglasville,Single-Family,25
202410,Oct 2024,City/Other,Douglasville,Single-Family,18
202411,Nov 2024,City/Other,Douglasville,Single-Family,14
202412,Dec 2024,City/Other,Douglasville,Single-Family,14
202501,Jan 2025,City/Other,Douglasville,Single-Family,36
202502,Feb 2025,City/Other,Douglasville,Single-Family,21
202503,Mar 2025,City/Other,Douglasville,Single-Family,18
202504,Apr 2025,City/Other,Douglasville,Single-Family,22
202505,May 2025,City/Other,Douglasville,Single-Family,30
202506,Jun 2025,City/Other,Douglasville,Single-Family,20
202507,Jul 2025,City/Other,Douglasville,Single-Family,20
202508,Aug 2025,City/Other,Douglasville,Single-Family,21
202509,Sep 2025,City/Other,Douglasville,Single-Family,22
202510,Oct 2025,City/Other,Douglasville,Single-Family,29
202511,Nov 2025,City/Other,Douglasville,Single-Family,19
202512,Dec 2025,City/Other,Douglasville,Single-Family,17
202407,Jul 2024,City/Other,Duluth,Single-Family,22
202408,Aug 2024,City/Other,Duluth,Single-Family,22
202409,Sep 2024,City/Other,Duluth,Single-Family,18
202410,Oct 2024,City/Other,Duluth,Single-Family,21
202411,Nov 2024,City/Other,Duluth,Single-Family,6
202412,Dec 2024,City/Other,Duluth,Single-Family,18
202501,Jan 2025,City/Other,Duluth,Single-Family,20
202502,Feb 2025,City/Other,Duluth,Single-Family,22
202503,Mar 2025,City/Other,Duluth,Single-Family,23
202504,Apr 2025,City/Other,Duluth,Single-Family,16
202505,May 2025,City/Other,Duluth,Single-Family,17
202506,Jun 2025,City/Other,Duluth,Single-Family,1
202507,Jul 2025,City/Other,Duluth,Single-Family,15
202508,Aug 2025,City/Other,Duluth,Single-Family,13
202509,Sep 2025,City/Other,Duluth,Single-Family,13
202510,Oct 2025,City/Other,Duluth,Single-Family,13
202511,Nov 2025,City/Other,Duluth,Single-Family,11
202512,Dec 2025,City/Other,Duluth,Single-Family,12
202407,Jul 2024,City/Other,Dunwoody,Single-Family,4
202408,Aug 2024,City/Other,Dunwoody,Single-Family,3
202409,Sep 2024,City/Other,Dunwoody,Single-Family,0
202410,Oct 2024,City/Other,Dunwoody,Single-Family,1
202411,Nov 2024,City/Other,Dunwoody,Single-Family,0
202412,Dec 2024,City/Other,Dunwoody,Single-Family,1
202501,Jan 2025,City/Other,Dunwoody,Single-Family,1
202502,Feb 2025,City/Other,Dunwoody,Single-Family,1
202503,Mar 2025,City/Other,Dunwoody,Single-Family,0
202504,Apr 2025,City/Other,Dunwoody,Single-Family,3
202505,May 2025,City/Other,Dunwoody,Single-Family,3
202506,Jun 2025,City/Other,Dunwoody,Single-Family,0
202507,Jul 2025,City/Other,Dunwoody,Single-Family,1
202508,Aug 2025,City/Other,Dunwoody,Single-Family,1
202509,Sep 2025,City/Other,Dunwoody,Single-Family,0
202510,Oct 2025,City/Other,Dunwoody,Single-Family,0
202511,Nov 2025,City/Other,Dunwoody,Single-Family,2
202512,Dec 2025,City/Other,Dunwoody,Single-Family,2
202407,Jul 2024,City/Other,East Point,Single-Family,9
202408,Aug 2024,City/Other,East Point,Single-Family,9
202409,Sep 2024,City/Other,East Point,Single-Family,7
202410,Oct 2024,City/Other,East Point,Single-Family,8
202411,Nov 2024,City/Other,East Point,Single-Family,7
202412,Dec 2024,City/Other,East Point,Single-Family,7
202501,Jan 2025,City/Other,East Point,Single-Family,8
202502,Feb 2025,City/Other,East Point,Single-Family,8
202503,Mar 2025,City/Other,East Point,Single-Family,9
